Naam,OIN,eFacturatie,Afgiftedatum,Status
ABG - organisatie,"00000001855432950000	",Nee,23-05-2016,Actief
Agentschap SZW,"00000004000000140000	",Ja,19-07-2012,Actief
Agentschap Telecom,"00000004000000010000	",Ja,28-09-2010,Actief
Algemene Rekenkamer,"00000002815051232000	",Nee,22-10-2015,Actief
AMHK Flevoland,"00000002810358098001	",Nee,30-12-2014,Actief
AMHK Groningen,"00000002812641437001	",Nee,30-10-2014,Actief
AMHK Midden Brabant,"00000002811415454007	",Nee,30-10-2014,Actief
AMHK Noord- en Midden Limburg,"00000002801038996001	",Nee,30-12-2014,Actief
AMHK Noordoost-Brabant,"00000001811415454000	",Nee,30-10-2014,Actief
AMHK Twente,"00000002808844313001	",Nee,04-12-2014,Actief
AMHK Utrecht,"00000002002884124001	",Nee,21-11-2014,Actief
AMHK Zuid-Holland Zuid,"00000002803570442001	",Nee,27-11-2014,Actief
AMHK Zuid Limburg,"00000002801038996002	",Nee,30-12-2014,Ingetrokken
AMHK Zuidoost Brabant,"00000002811415454002	",Nee,30-10-2014,Actief
ANVS (Autoriteit Nucleaire Veiligheid en Stralingsbescherming,"00000002003214321001	",Ja,08-07-2015,Actief
Apparaatskosten Dienst Justitiële Inrichtingen Den Haag,"00000004000000086000	",Ja,19-07-2012,Actief
Atos Origin,"00000001804905587000	",Nee,28-10-2009,Ingetrokken
Autoriteit Consument & Markt,"00000004000000152000	",Ja,14-10-2013,Actief
Autoriteit Financiele Markten,"00000001008688217000	",Nee,07-10-2009,Actief
Autoriteit Persoonsgegevens,"00000004000000079000	",Ja,27-01-2012,Actief
Autoriteit Woningcorporaties,"00000001851407742001	",Nee,24-11-2015,Actief
Aviapartner B.V.,"00000001807879368000	",Nee,10-02-2011,Ingetrokken
BAR-organisatie,"00000001853051549000	",Nee,10-04-2015,Actief
Bedrijfsvoeringseenheid Bommelerwaard,"00000001856720148000	",Nee,21-12-2016,Actief
Bedrijfsvoeringsorganisatie Vijfheerenlanden,"00000001857936074000	",Nee,15-09-2017,Actief
Bedrijfsvoeringsorganisatie West Betuwe,"00000001855582303000	",Nee,11-11-2015,Actief
Belastingdienst Centrale Administratie,"00000002003214394002	",Ja,23-12-2010,Actief
Belastingdienst/Centrum voor Infrastructuur en Exploitatie,"00000002003214394001	",Nee,29-12-2008,Actief
Belastingdienst Toeslagen,"00000002003214394003	",Nee,25-03-2013,Actief
Belastingen Bollenstreek,"00000004002528381000	",Nee,25-05-2016,Actief
Belastingsamenwerking Gouwe-Rijnland,"00000001821609233000	",Nee,12-07-2013,Actief
Belastingsamenwerking Oost-Brabant,"00000001823420838000	",Nee,12-12-2014,Actief
Belasting Samenwerking voor Gemeenten en Waterschappen (BsGW),"00000001850439425000	",Nee,12-11-2014,Actief
Belastingsamenwerking West-Brabant,"00000001822948837000	",Nee,21-08-2014,Actief
BEL Combinatie,"00000001818523918000	",Nee,02-05-2016,Actief
BgHU,"00000001852712716000	",Nee,11-08-2014,Actief
BH International,"00000008821862753000	",Nee,24-08-2017,Actief
BIJ12,"00000004812578284000	",Nee,25-04-2017,Actief
BJZ Midden Brabant,"00000002811415454006	",Nee,30-10-2014,Ingetrokken
BJZ Noordoost Brabant,"00000002811415454004	",Nee,30-10-2014,Ingetrokken
BJZ West-Brabant-Oost,"00000002811415454005	",Nee,30-10-2014,Ingetrokken
BJZ West-Brabant-West,"00000002811415454003	",Nee,30-10-2014,Ingetrokken
BKWI,"00000001810237118000	",Nee,19-12-2008,Actief
BNP PARIBAS SECURITIES SERVICES,"00000008824269822000	",Nee,02-02-2017,Actief
BPR,"00000002003214345002	",Nee,09-01-2009,Ingetrokken
Brabants Historisch Informatie Centrum,"00000001813565376000	",Nee,01-06-2016,Actief
Brandweer Hollands Midden,"00000001817539347000	",Nee,04-02-2010,Actief
Brandweer Zuid Limburg,"00000001820151130000	",Nee,27-11-2012,Actief
BSR (Belastingsamenwerking Rivierenland),"00000001818730213000	",Nee,06-02-2014,Actief
Bureau Financieel Toezicht,"00000003302764670000	",Nee,14-05-2014,Actief
Bureau Jeugdzorg Limburg,"00000001801038996000	",Nee,30-10-2014,Actief
Bureau Raad voor de rechtspraak,"00000004000000076000	",Ja,12-07-2011,Actief
Bureau Zelfstandigen Fryslân,"00000004175300440000	",Nee,07-05-2018,Actief
CAK,"00000001803670114000	",Nee,09-11-2010,Actief
CenterOne Group BV,"00000003030238162000	",Nee,05-08-2011,Ingetrokken
Centraal Bureau Rijvaardigheidsbewijzen,"00000001852312398000	",Nee,25-06-2018,Actief
Centraal Bureau voor de Statistiek,"00000001812483297000	",Nee,12-03-2010,Actief
Centraal Justitieel Incassobureau,"00000004000000044000	",Ja,25-11-2010,Actief
Centraal Justitieel IncassoBureau (baten en lasten),"00000004000000157000	",Nee,29-12-2016,Actief
Centraal Orgaan opvang Asielzoekers,"00000001803660406000	",Nee,18-06-2010,Actief
Centraal Planbureau,"00000004000000018000	",Ja,03-11-2010,Actief
Centrale Raad van Beroep,"00000004000000037000	",Ja,17-10-2010,Actief
