Id;Naam;organisatieid;kvknummer;vestigingsnummer;rsin;OIN;organisatiecode;cbsnummer
1;Gemeente Amsterdam;g1;34366966;000007678460;002564440;00000001002564440000;000363;0363
2;Gemeente Hilversum;g10;32170443;000005353793;001941914;00000001001941914000;000402;0402
3;Gemeente Nieuwkoop;g100;27364328;000015337871;816172638;00000001816172638000;000569;0569
4;Gemeente Den Haag;g102;27370927;000008337888;002308836;00000001002308836000;000518;0518
5;Gemeente Delft;g103;27374588;000010221611;001569417;00000001001569417000;000503;0503
6;Gemeente Pijnacker-Nootdorp;g104;27365912;000002087405;810258997;00000001810258997000;001926;1926
7;Gemeente Midden-Delfland;g105;27370601;000011705108;812579410;00000001812579410000;001842;1842
8;Gemeente Lansingerland;g107;27366643;000010437797;817291295;00000001817291295000;001621;1621
9;Gemeente Wijdemeren;g11;32165063;000000764078;810115013;00000001810115013000;001696;1696
10;Gemeente Zoetermeer;g114;27376002;000009870318;001527927;00000001001527927000;000637;0637
11;Gemeente Waddinxveen;g115;24482458;000005088720;001998389;00000001001998389000;000627;0627
12;Gemeente Gouda;g118;24487063;000002259338;001997956;00000001001997956000;000513;0513
13;Gemeente Krimpenerwaard;g121;62251686;000002182149;823953026;00000001823953026000;001931;1931
14;Gemeente Capelle aan den IJssel;g125;51332493;000021380619;001877045;00000001001877045000;000502;0502
15;Gemeente Zuidplas;g126;50595644;000020863063;821515160;00000001821515160000;001892;1892
16;Gemeente Krimpen aan den IJssel;g127;54596114;000024344885;001877185;00000001001877185000;000542;0542
17;Gemeente Alblasserdam;g129;51378469;000022364935;001918412;00000001001918412000;000482;0482
18;Gemeente Laren;g13;32169164;000005986141;002310594;00000001002310594000;000417;0417
19;Gemeente Molenwaard;g132;57030707;000026511746;823648552;00000001823648552000;001927;1927
20;Gemeente Ridderkerk;g133;24493197;000001757237;001877410;00000001001877410000;000597;0597
21;Gemeente Barendrecht;g134;24494374;000001185977;001876946;00000001001876946000;000489;0489
22;Gemeente Rotterdam;g136;24483298;000014741792;001876387;00000001001876387000;000599;0599
23;Gemeente Schiedam;g137;50991663;000037526146;002539780;00000001002539780000;000606;0606
24;Gemeente Vlaardingen;g138;24485270;000003650650;001320270;00000001001320270000;000622;0622
25;Gemeente Maassluis;g139;24484110;000002524295;001320257;00000001001320257000;000556;0556
26;Gemeente Blaricum;g14;32168837;000003700992;002794056;00000001002794056000;000376;0376
27;Gemeente Albrandswaard;g141;50875825;000020767285;006825515;00000001006825515000;000613;0613
28;Gemeente Nissewaard;g143;62252046;000001231693;823890478;00000001823890478000;001930;1930
29;Gemeente Hellevoetsluis;g145;51860015;000021838941;001911259;00000001001911259000;000530;0530
30;Gemeente Brielle;g146;51392380;000021427984;001911193;00000001001911193000;000501;0501
31;Gemeente Westvoorne;g147;50358944;000020723407;004999459;00000001004999459000;000614;0614
32;Gemeente Goeree-Overflakkee;g148;56710240;000026472481;823658727;00000001823658727000;001924;1924
33;Gemeente Huizen;g15;32166112;000011719818;002310612;00000001002310612000;000406;0406
34;Gemeente Oud-Beijerland;g152;24483633;000013169408;001877367;00000001001877367000;000584;0584
35;Gemeente Korendijk;g153;24483056;000009344748;006817841;00000001006817841000;000588;0588
36;Gemeente Binnenmaas;g154;24485644;000008777063;816963216;00000001816963216000;000585;0585
37;Gemeente Cromstrijen;g155;24494625;000008093512;006816150;00000001006816150000;000611;0611
38;Gemeente Strijen;g156;24485569;000000376833;001877422;00000001001877422000;000617;0617
39;Gemeente Dordrecht;g158;50070525;000021046425;001915794;00000001001915794000;000505;0505
40;Gemeente Zwijndrecht;g159;24490491;000010642420;002118890;00000001002118890000;000642;0642
41;Gemeente Almere;g16;32164984;000011472529;006462583;00000001006462583000;000034;0034
42;Gemeente Hendrik-Ido-Ambacht;g160;24488714;000001080644;002118907;00000001002118907000;000531;0531
43;Gemeente Papendrecht;g161;24483621;000000619671;001919775;00000001001919775000;000590;0590
44;Gemeente Sliedrecht;g162;24488726;000001670352;001921265;00000001001921265000;000610;0610
45;Gemeente Hardinxveld-Giessendam;g163;51200570;000021271399;002008221;00000001002008221000;000523;0523
46;Gemeente Giessenlanden;g164;30280709;000007256906;007587107;00000001007587107000;000689;0689
47;Gemeente IJsselstein;g165;30279625;000009651136;002313832;00000001002313832000;000353;0353
48;Gemeente Lopik;g166;50029886;000000260770;002313455;00000001002313455000;000331;0331
49;Gemeente Montfoort;g167;30277195;000012332682;001721628;00000001001721628000;000335;0335
50;Gemeente Oudewater;g168;53878388;000023724315;001721689;00000001001721689000;000589;0589
